Name,Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PrimaryTemp,BPOM
Stout,Oatmeal Stout,114,21.0,1.053,1.014,5.21,50.12,45.41,30.0,60,1.037,60.0,2.855,Specific Gravity,All Grain,2.855,5
Flat tire ,Classic American Pilsner,40,23.5,1.0490000000000002,1.008,5.32,39.31,5.73,28.0,60,1.041,68.0,2.2109482758620693,Specific Gravity,All Grain,2.2109482758620693,2
Hop Back Otter IPA,American IPA,7,20.82,1.069,1.013,7.35,90.91,8.91,26.5,60,1.054,75.0,1.5,Specific Gravity,All Grain,1.5,2
Pilgrim smash,British Golden Ale,35,9.0,1.044,1.0070000000000001,4.86,31.44,5.25,10.0,60,1.04,70.0,2.5,Specific Gravity,All Grain,2.5,2
GB032,American Pale Ale,10,35.0,1.047,1.014,4.38,31.19,5.96,38.0,75,1.043,81.0,2.2804632561436686,Specific Gravity,BIAB,2.2804632561436686,2
Foley's Black IPA,American IPA,7,37.85,1.071,1.0170000000000001,7.11,124.49,50.0,49.21,60,1.015,70.0,1.255,Specific Gravity,All Grain,1.255,5
Scullin Wild Beer,Wild Specialty Beer,173,6.0,1.05,1.01,5.22,12.71,5.55,8.0,30,1.038,60.0,3.0,Specific Gravity,All Grain,3.0,2
Buck shelford,Russian Imperial Stout,132,20.1,1.092,1.032,7.87,54.62,43.72,6.0,60,1.084,25.0,1.8851853932584286,Specific Gravity,extract,1.8851853932584286,5
MC Porter 12/31,Robust Porter,129,21.8,1.061,1.012,6.5,48.34,35.86,11.36,60,1.117,35.0,1.9681428571428576,Specific Gravity,extract,1.9681428571428576,5
Simple Hefe /w Paulaner Yeast,Weissbier,169,18.93,1.052,1.013,5.21,17.14,3.23,22.71,60,1.044,68.0,2.677646655231561,Specific Gravity,BIAB,2.677646655231561,2
Braumeister IPA 50L 25L Batch,American IPA,7,25.0,1.052,1.01,5.5,68.62,6.35,30.0,80,1.043,75.0,1.5,Specific Gravity,All Grain,1.5,2
Albino Python IPA,American IPA,7,776.01,1.069,1.022,6.25,177.32,4.75,794.94,90,1.068,82.0,1.5,Specific Gravity,All Grain,1.5,2
The Beach Some-What Wheat,Specialty Beer,145,20.82,1.047,1.011,4.68,29.14,3.47,11.36,60,1.0738002734388103,45.0,1.7723979591836736,Specific Gravity,extract,1.7723979591836736,2
GYLE 007,Saison,134,20.0,1.0290000000000001,1.005,3.18,33.0,3.78,24.4,90,1.024,35.0,2.9,Specific Gravity,All Grain,2.9,2
Bracket Buster IPA,American IPA,7,18.93,1.073,1.016,7.44,64.24,6.78,28.39,60,1.0490000000000002,70.0,1.5,Specific Gravity,All Grain,1.5,2
Ambar,Traditional Bock,163,43.0,1.067,1.015,6.81,20.68,17.8,55.0,70,1.053,75.0,3.0,Specific Gravity,All Grain,3.0,2
Groom's IPA,American IPA,7,37.85,1.062,1.016,6.07,80.64,9.29,47.32,60,1.0490000000000002,75.0,1.75,Specific Gravity,All Grain,1.75,2
Patagonian Ale,American Strong Ale,13,24.61,1.083,1.026,7.53,86.11,19.2,32.18,90,1.064,83.0,1.5,Specific Gravity,All Grain,1.5,2
Cucumber Rhode,Weissbier,169,19.87,1.054,1.015,5.13,28.15,6.09,11.36,60,1.095,70.0,2.677646655231561,Specific Gravity,Partial Mash,2.677646655231561,2
Robust Porter,Robust Porter,129,20.8,15.3148,4.4522699999999995,5.9,31.73,28.14,28.4,60,11.4,70.0,3.0,Plato,All Grain,3.0,5
Winter Habnero Chili,American Light Lager,9,22.71,1.0859999999999999,1.0090000000000001,10.2,37.51,5.1,28.39,60,1.069,70.0,1.5,Specific Gravity,All Grain,1.5,3
Brewdog Trashy Blonde,Blonde Ale,30,18.0,1.046,1.0090000000000001,4.9,44.05,4.77,21.0,60,1.04,70.0,3.0,Specific Gravity,All Grain,3.0,2
Coffee Stout,American Stout,12,45.42,1.0759999999999998,1.0190000000000001,7.49,47.95,41.87,39.75,60,1.087,80.0,1.3,Specific Gravity,All Grain,1.3,5
Nunhead in Spring ESB,Extra Special/Strong Bitter (ESB),68,20.82,1.057,1.012,5.88,45.03,9.38,28.39,60,1.042,70.0,1.5,Specific Gravity,All Grain,1.5,2
Julius Pettersens Juleøl,British Strong Ale,36,25.0,1.0659999999999998,1.022,5.74,40.56,26.3,32.0,90,1.051,70.0,3.0,Specific Gravity,All Grain,3.0,5
Sweet Bliss,American Pale Ale,10,20.82,1.056,1.013,5.6,34.3,6.76,28.39,90,1.041,75.0,14.0,Specific Gravity,All Grain,14.0,2
Irish Red Ale,Irish Red Ale,92,18.93,1.044,1.01,4.54,33.67,12.11,22.71,60,1.037,35.0,2.2631598877980363,Specific Gravity,extract,2.2631598877980363,2
Thanks for the Mammaries,Sweet Stout,162,18.93,1.07,1.022,6.25,32.6,37.9,13.25,60,1.1,70.0,2.0088648111332006,Specific Gravity,Partial Mash,2.0088648111332006,5
Smoked Winter Warmer v2,Specialty Smoked Beer,153,18.93,1.06,1.014,5.99,35.7,19.87,24.61,60,1.046,65.0,1.5,Specific Gravity,All Grain,1.5,2
